pubchem_cid,SMILES
71562904,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N
71562905,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5CCCCC5)CCCN=C(N)N
71563031,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)Cl)CCCN=C(N)N
71563032,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)Cl)CCCN=C(N)N
71563033,CC1=CC(=CC=C1)C[C@H]2C(=O)N3CCC[C@H]3C(=O)NC4(CCC4)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)NCCCCCCCC[C@@H](C(=O)N2)N)CCCN=C(N)N
71563151,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5Cl)CCCN=C(N)N
71563152,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)C(F)(F)F)CCCN=C(N)N
71563153,CCC1=CC(=CC=C1)C[C@H]2C(=O)N3CCC[C@H]3C(=O)NC4(CCC4)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)NCCCCCCCC[C@@H](C(=O)N2)N)CCCN=C(N)N
71563283,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)C6=CC=CC=C6)CCCN=C(N)N
71563284,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)F)CCCN=C(N)N
71563285,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5F)CCCN=C(N)N
71716131,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)C
71716759,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C
71717364,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C
